Run 1,Run 2,Tensile,Run
98.37274933,168.1307831,98.37274933,1
109.6276932,115.2330627,109.6276932,1
110.1004486,124.2605972,110.1004486,1
107.6418533,93.96110535,107.6418533,1
74.57561493,127.84375,74.57561493,1
101.0225983,139.4883881,101.0225983,1
80.77045441,109.8396683,80.77045441,1
90.92601013,118.8475494,90.92601013,1
90.42394257,129.9823914,90.42394257,1
116.7371292,134.5600586,116.7371292,1
97.08932495,162.5808716,97.08932495,1
111.2718582,108.9476318,111.2718582,1
102.589119,112.798645,102.589119,1
109.8520126,76.44203186,109.8520126,1
66.94741821,138.7325897,66.94741821,1
105.9338684,136.7534027,105.9338684,1
100.3898315,90.02339935,100.3898315,1
118.5279083,102.5209198,118.5279083,1
112.5438538,90.38799286,112.5438538,1
96.57663727,139.4495087,96.57663727,1
109.0493851,110.2870026,109.0493851,1
101.275177,126.9917603,101.275177,1
120.524971,77.58151245,120.524971,1
97.46340942,159.5316162,97.46340942,1
101.0148392,84.30458832,101.0148392,1
116.5719528,95.34779358,116.5719528,1
90.78695679,136.9798431,90.78695679,1
107.1226273,146.520401,107.1226273,1
91.74505615,110.3676987,91.74505615,1
117.8500595,132.3373871,117.8500595,1
134.1684723,60.73009872,134.1684723,1
85.21512604,117.9343796,85.21512604,1
,101.1963577,168.1307831,2
,93.93202209,115.2330627,2
,128.4860687,124.2605972,2
,131.8347778,93.96110535,2
,104.722496,127.84375,2
,146.0626984,139.4883881,2
,109.5314941,109.8396683,2
,132.0062714,118.8475494,2
,,129.9823914,2
,,134.5600586,2
,,162.5808716,2
,,108.9476318,2
,,112.798645,2
,,76.44203186,2
,,138.7325897,2
,,136.7534027,2
,,90.02339935,2
,,102.5209198,2
,,90.38799286,2
,,139.4495087,2
,,110.2870026,2
,,126.9917603,2
,,77.58151245,2
,,159.5316162,2
,,84.30458832,2
,,95.34779358,2
,,136.9798431,2
,,146.520401,2
,,110.3676987,2
,,132.3373871,2
,,60.73009872,2
,,117.9343796,2
,,101.1963577,2
,,93.93202209,2
,,128.4860687,2
,,131.8347778,2
,,104.722496,2
,,146.0626984,2
,,109.5314941,2
,,132.0062714,2
